nombre_negocio;nombre_contacto;categoria;telefono_movil;telefono_fijo;email;direccion;municipio;provincia;rating_google;zona_id;notas
Academia Isa San Juan;;academia;674688833;;email;C/Dr.Gadea 8;San Juan de Alicante;Alicante;5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Academia Reva;;academia;665388658;;email;C/Dr.Gadea 7;San Juan de Alicante;Alicante;5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Academia Rayuela;;academia;658554208;;email;C/Pintor Baeza 4;San Juan de Alicante;Alicante;5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Academia San Juan;;academia;651984830;;email;C/Capitan Juan Marti 23;San Juan de Alicante;Alicante;4.9;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Idiomas Yumi;;academia;;966371827;email;C/Dr.Severo Ochoa 10;San Juan de Alicante;Alicante;4.3;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Taiyo Japones;;restaurante;865685197;;email;Av.la Rambla s/n;San Juan de Alicante;Alicante;4.4;e6bcf795-4389-44e0-a973-d5ac62fd8c63;Restaurante japones/sushi
Autoescuela La Rambla;;autoescuela;;965655754;email;Av.la Rambla 42;San Juan de Alicante;Alicante;4.1;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Autoescuela Tabarka Pueblo;;autoescuela;611968141;;email;Av.Mutxamel 1;San Juan de Alicante;Alicante;5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Thegarciastyle Barber;;barberia;649440105;;email;C/Major 9;San Juan de Alicante;Alicante;5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Clinica Levante San Juan;;clinica_salud;675193969;;email;Av.Musico A.Climent 2;San Juan de Alicante;Alicante;5;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Dra. Silvia Carrillo Clinica;;clinica_salud;682519130;;email;Av.Comtat de Fabraquer 150;San Juan de Alicante;Alicante;4.9;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Policlinica San Juan;;clinica_salud;;965656648;email;C/Tomas Capelo 5;San Juan de Alicante;Alicante;3.8;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
Clinica Dental Garcia Rocamora;;dental;;966296780;email;Av.la Rambla 49;San Juan de Alicante;Alicante;4.7;e6bcf795-4389-44e0-a973-d5ac62fd8c63;
